0.000000,0.000000
0.454545,0.001000
0.867769,0.002000
1.243426,0.003000
1.584933,0.004000
1.895393,0.005000
2.177630,0.006000
2.434209,0.007000
2.667463,0.008000
2.879512,0.009000
3.072284,0.010000
3.247531,0.011000
3.406846,0.012000
3.551678,0.013000
3.683344,0.014000
3.803040,0.015000
3.911854,0.016000
4.010777,0.017000
4.100706,0.018000
4.182460,0.019000
4.256782,0.020000
4.324347,0.021000
4.385770,0.022000
4.441609,0.023000
4.492372,0.024000
4.538520,0.025000
4.580473,0.026000
4.618612,0.027000
4.653283,0.028000
4.684803,0.029000
4.713457,0.030000
4.739507,0.031000
4.763188,0.032000
4.784716,0.033000
4.804287,0.034000
4.822079,0.035000
4.838254,0.036000
4.852958,0.037000
4.866326,0.038000
4.878478,0.039000
4.889525,0.040000
4.899569,0.041000
4.908699,0.042000
4.916999,0.043000
4.924544,0.044000
4.931404,0.045000
4.937640,0.046000
4.943309,0.047000
4.948463,0.048000
4.953148,0.049000
4.957407,0.050000
4.961279,0.051000
4.964799,0.052000
4.967999,0.053000
4.970909,0.054000
4.973553,0.055000
4.975957,0.056000
4.978143,0.057000
4.980130,0.058000
4.981937,0.059000
4.983579,0.060000
4.985071,0.061000
4.986429,0.062000
4.987662,0.063000
4.988784,0.064000
4.989804,0.065000
4.990731,0.066000
4.991573,0.067000
4.992339,0.068000
4.993036,0.069000
4.993669,0.070000
4.994244,0.071000
4.994768,0.072000
4.995243,0.073000
4.995676,0.074000
4.996069,0.075000
4.996426,0.076000
4.996751,0.077000
4.997046,0.078000
4.997315,0.079000
4.997559,0.080000
4.997781,0.081000
4.997983,0.082000
4.998166,0.083000
4.998333,0.084000
4.998484,0.085000
4.998622,0.086000
4.998747,0.087000
4.998861,0.088000
4.998965,0.089000
4.999059,0.090000
4.999144,0.091000
4.999222,0.092000
4.999293,0.093000
4.999357,0.094000
4.999416,0.095000
4.999469,0.096000
4.999517,0.097000
4.999561,0.098000
4.999601,0.099000
4.999637,0.100000
4.999670,0.101000
4.999700,0.102000
4.999727,0.103000
4.999752,0.104000
4.999775,0.105000
4.999795,0.106000
4.999814,0.107000
4.999831,0.108000
4.999846,0.109000
4.999860,0.110000
4.999873,0.111000
4.999884,0.112000
4.999895,0.113000
4.999904,0.114000
4.999913,0.115000
4.999921,0.116000
4.999928,0.117000
4.999935,0.118000
4.999941,0.119000
4.999946,0.120000
4.999951,0.121000
4.999955,0.122000
4.999959,0.123000
4.999963,0.124000
4.999967,0.125000
4.999970,0.126000
4.999972,0.127000
4.999975,0.128000
4.999977,0.129000
4.999979,0.130000
4.999981,0.131000
4.999983,0.132000
4.999984,0.133000
4.999986,0.134000
4.999987,0.135000
4.999988,0.136000
4.999989,0.137000
4.999990,0.138000
4.999991,0.139000
4.999992,0.140000
4.999993,0.141000
4.999993,0.142000
4.999994,0.143000
4.999995,0.144000
4.999995,0.145000
4.999995,0.146000
4.999996,0.147000
4.999996,0.148000
4.999997,0.149000
4.999997,0.150000
4.999997,0.151000
4.999997,0.152000
4.999998,0.153000
4.999998,0.154000
4.999998,0.155000
4.999998,0.156000
4.999998,0.157000
4.999999,0.158000
4.999999,0.159000
4.999999,0.160000
4.999999,0.161000
4.999999,0.162000
4.999999,0.163000
4.999999,0.164000
4.999999,0.165000
4.999999,0.166000
4.999999,0.167000
4.999999,0.168000
4.999999,0.169000
5.000000,0.170000
5.000000,0.171000
5.000000,0.172000
5.000000,0.173000
5.000000,0.174000
5.000000,0.175000
5.000000,0.176000
5.000000,0.177000
5.000000,0.178000
5.000000,0.179000
5.000000,0.180000
5.000000,0.181000
5.000000,0.182000
5.000000,0.183000
5.000000,0.184000
5.000000,0.185000
5.000000,0.186000
5.000000,0.187000
5.000000,0.188000
5.000000,0.189000
5.000000,0.190000
5.000000,0.191000
5.000000,0.192000
5.000000,0.193000
5.000000,0.194000
5.000000,0.195000
5.000000,0.196000
5.000000,0.197000
5.000000,0.198000
5.000000,0.199000
5.000000,0.200000
5.000000,0.201000
5.000000,0.202000
5.000000,0.203000
5.000000,0.204000
5.000000,0.205000
5.000000,0.206000
5.000000,0.207000
5.000000,0.208000
5.000000,0.209000
5.000000,0.210000
5.000000,0.211000
5.000000,0.212000
5.000000,0.213000
5.000000,0.214000
5.000000,0.215000
5.000000,0.216000
5.000000,0.217000
5.000000,0.218000
5.000000,0.219000
5.000000,0.220000
5.000000,0.221000
5.000000,0.222000
5.000000,0.223000
5.000000,0.224000
5.000000,0.225000
5.000000,0.226000
5.000000,0.227000
5.000000,0.228000
5.000000,0.229000
5.000000,0.230000
5.000000,0.231000
5.000000,0.232000
5.000000,0.233000
5.000000,0.234000
5.000000,0.235000
5.000000,0.236000
5.000000,0.237000
5.000000,0.238000
5.000000,0.239000
5.000000,0.240000
5.000000,0.241000
5.000000,0.242000
5.000000,0.243000
5.000000,0.244000
5.000000,0.245000
